id,Elecciones,Partido,Porcentaje,Votos,Participacion,Electores,Votantes,Bancas
"BUENOS AIRES","GENERALES 2021","JUNTOS","39.81","3480298","72.89","12530612","9133379","15"
"BUENOS AIRES","GENERALES 2021","FRENTE DE TODOS","38.53","3368310","72.89","12530612","9133379","15"
"BUENOS AIRES","GENERALES 2021","AVANZA LIBERTAD","7.51","656498","72.89","12530612","9133379","2"
"BUENOS AIRES","GENERALES 2021","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD","6.83","596723","72.89","12530612","9133379","2"
"BUENOS AIRES","GENERALES 2021","FRENTE VAMOS CON VOS","4.37","382445","72.89","12530612","9133379","1"
"BUENOS AIRES","GENERALES 2021","BLANCO","3.11","284351","72.89","12530612","9133379",""
"BUENOS AIRES","GENERALES 2021","VALORES","2.95","257568","72.89","12530612","9133379",""
"BUENOS AIRES","GENERALES 2021","NULO","1.08","98972","72.89","12530612","9133379",""
"BUENOS AIRES","GENERALES 2021","IMPUGNADO","0.05","4539","72.89","12530612","9133379",""
"CATAMARCA","GENERALES 2021","FRENTE DE TODOS","50.57","101515","67.15","323750","217392","2"
"CATAMARCA","GENERALES 2021","JUNTOS POR EL CAMBIO","37.22","74709","67.15","323750","217392","1"
"CATAMARCA","GENERALES 2021","BLANCO","6.32","13730","67.15","323750","217392",""
"CATAMARCA","GENERALES 2021","FRENTE AMPLIO CATAMARQUEÑO","5","10045","67.15","323750","217392",""
"CATAMARCA","GENERALES 2021","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD","4.26","8548","67.15","323750","217392",""
"CATAMARCA","GENERALES 2021","CORRIENTE DE PENSAMIENTO BONAERENSE","2.95","5930","67.15","323750","217392",""
"CATAMARCA","GENERALES 2021","NULO","1.26","2747","67.15","323750","217392",""
"CATAMARCA","GENERALES 2021","IMPUGNADO","0.08","168","67.15","323750","217392",""
"CHACO","GENERALES 2021","FRENTE DE TODOS","44.33","263929","65.85","949658","625387","2"
"CHACO","GENERALES 2021","CHACO CAMBIA + JUNTOS POR EL CAMBIO","42.76","254546","65.85","949658","625387","2"
"CHACO","GENERALES 2021","FRENTE INTEGRADOR","8.21","48884","65.85","949658","625387",""
"CHACO","GENERALES 2021","BLANCO","3.6","22506","65.85","949658","625387",""
"CHACO","GENERALES 2021","DEL OBRERO","2.54","15100","65.85","949658","625387",""
"CHACO","GENERALES 2021","FRENTE VAMOS CON VOS","2.16","12848","65.85","949658","625387",""
"CHACO","GENERALES 2021","NULO","1.17","7345","65.85","949658","625387",""
"CHACO","GENERALES 2021","IMPUGNADO","0.04","229","65.85","949658","625387",""
"CHUBUT","GENERALES 2021","JUNTOS POR EL CAMBIO CHUBUT","37.95","108556","69.32","442209","306554","1"
"CHUBUT","GENERALES 2021","FRENTE DE TODOS","28.32","80988","69.32","442209","306554","1"
"CHUBUT","GENERALES 2021","INDEPENDIENTE DEL CHUBUT","15.14","43291","69.32","442209","306554",""
"CHUBUT","GENERALES 2021","CHUBUT SOMOS TODOS","10.07","28793","69.32","442209","306554",""
"CHUBUT","GENERALES 2021","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD","8.53","24390","69.32","442209","306554",""
"CHUBUT","GENERALES 2021","NULO","3.87","11860","69.32","442209","306554",""
"CHUBUT","GENERALES 2021","BLANCO","2.77","8499","69.32","442209","306554",""
"CHUBUT","GENERALES 2021","IMPUGNADO","0.06","175","69.32","442209","306554",""
"CIUDAD AUTONOMA DE BUENOS AIRES","GENERALES 2021","JUNTOS POR EL CAMBIO","47.01","855562","73.38","2535912","1860754","7"
"CIUDAD AUTONOMA DE BUENOS AIRES","GENERALES 2021","FRENTE DE TODOS","25.11","456876","73.38","2535912","1860754","3"
"CIUDAD AUTONOMA DE BUENOS AIRES","GENERALES 2021","LA LIBERTAD AVANZA","17.04","310036","73.38","2535912","1860754","2"
